text,tema_busca,categoria
"os desportos olímpicos (português europeu) ou esportes olímpicos (português brasileiro) compreendem todos os esportes já disputados nos jogos olímpicos de verão e de inverno. até 2008, havia 26 esportes, 36 disciplinas e cerca de 300 eventos no programa dos jogos de verão e 7 esportes, 15 disciplinas e cerca de 80 eventos nos jogos de inverno.


== esportes, modalidades e eventos ==

para efeito de competição olímpica, o comitê olímpico internacional (coi) faz uma distinção entre ""esporte"" e ""modalidade"".",Desporto olímpico,esporte
"tecnologia (do grego ""τέχνη"": ""técnica, arte, ofício"" e ""-λογία"": ""estudo"") é o conjunto de processos e habilidades usados na produção de bens ou serviços, ou na realização de objetivos, como em investigações científicas. isso também pode ser embutido em máquinas para permitir a operação destas sem conhecimento detalhado do funcionamento. sistema tecnológico (ou computacional) que através do input de dados, faz à análise destes e, então produz um resultado.",Tecnologia,tecnologia
"a tecnologia educacional (te) é a incorporação de tecnologias da informação e comunicação (tic) na educação para apoiar os processos de ensino e aprendizagem em diferentes contextos de educação formal e não formal. 
entende-se por tecnologia o resultado da fusão entre ciência e técnica. o conceito de tecnologia educacional pode ser enunciado como o conjunto de procedimentos (técnicas) que visam ""facilitar"" os processos de ensino e aprendizagem usando a ciência.",Tecnologia educacional,tecnologia
"instituto de tecnologia de massachusetts (em inglês:  massachusetts institute of technology), mais conhecido como mit, é uma universidade de pesquisa localizada em cambridge, massachusetts, estados unidos. fundada em 1861, em resposta à crescente industrialização dos estados unidos, o mit adotou um modelo europeu de universidade politécnica e salientou a instrução laboratorial em ciência aplicada e engenharia. segundo o ranking de 2022 da qs (quacquarelli symonds), um dos mais conceituados do mundo, o mit é a melhor universidade do mundo, posição que ocupa há dez anos consecutivos.",Instituto de Tecnologia de Massachusetts,tecnologia
"a tecnologia da informação (abreviado ti) é um conjunto de recursos utilizados para criar, processar, armazenar, recuperar e trocar dados e informações; um processo que faz parte das tecnologias da informação e comunicação (tic). um sistema de tecnologia da informação (sistema de ti) é geralmente um sistema de informação, um sistema de comunicação ou, mais especificamente falando, um sistema computacional – incluindo todo o hardware, software e, equipamentos periféricos — operado por um grupo limitado de usuários de ti que faz o tratamento de dados (estatística, relatório e, decisão).
embora os humanos estejam armazenando, recuperando, manipulando e comunicando informações desde que os primeiros sistemas de escrita foram desenvolvidos, o termo tecnologia da informação em seu sentido moderno apareceu pela primeira vez em um artigo de 1958 publicado na harvard business review como information technology; os autores harold j. leavitt e thomas l. whisler comentaram que ""a nova tecnologia ainda não tem um único nome estabelecido.",Tecnologia da informação,tecnologia
"durante a história científica e tecnológica na china, cientistas e engenheiros chineses antigos e modernos fizeram inovações científicas significativas, descobertas e avanços tecnológicos em várias disciplinas científicas, incluindo as ciências naturais, engenharia, medicina, tecnologia militar, matemática, geologia e astronomia. entre as primeiras invenções estavam o ábaco, o ""relógio das sombras"" e os primeiros artigos, como as lanternas de kongming. as quatro grandes invenções chinesas, a bússola, a pólvora, a fabricação de papel e a impressão (entre os mais importantes avanços tecnológicos), foram conhecidas na europa apenas no final da idade média, 1000 anos depois.",História da ciência e tecnologia na China,tecnologia
"o ministério da ciência, tecnologia e inovação (mcti) pertence à administração direta do governo federal do brasil, sendo responsável pela formulação e implementação da política nacional de ciência e tecnologia.


== história ==
foi criado como ministério da ciência e tecnologia (mct) durante o governo josé sarney em 15 de março de 1985, pelo decreto nº 91.146, como órgão central do sistema federal de ciência e tecnologia. o surgimento desse novo ministério, além de expressar a importância política desse segmento, atendeu a um antigo anseio da comunidade científica e tecnológica nacional.","Ministério da Ciência, Tecnologia e Inovação",tecnologia
"a história da tecnologia é a história das ferramentas e das técnicas úteis para fazer coisas práticas. relaciona-se intimamente com a história da ciência, que inclui a maneira como os seres humanos adquiriram o conhecimento básico necessário para construir coisas úteis.os esforços científicos, especialmente nos tempos modernos, dependeram em regra de tecnologias específicas que permitiram aos seres humanos sondar a natureza do universo, de forma mais precisa do que é permitida pelos nossos sentidos. os artefatos tecnológicos são produtos de uma economia, são uma força para o crescimento económico e constituem uma parte importante da nossa vida cotidiana.as inovações tecnológicas afetam e são afetadas pelas tradições culturais de uma sociedade.",História da tecnologia,tecnologia
"positivo tecnologia (b3: posi3

anteriormente positivo informática) é uma empresa brasileira de tecnologia, sediada em curitiba, paraná, que desenvolve, fabrica e comercializa computadores, celulares, tablets, dispositivos de casa e escritório inteligente, servidores, infraestrutura de ti, máquinas de pagamento e tecnologias educacionais.
a empresa possui fábricas em ilhéus (ba) e manaus (am), com presença na argentina, quênia, ruanda, china e taiwan.


== produtos ==

o portfólio de produtos e soluções são distribuídos nos canais de varejo, corporativo e instituições públicas brasileiras.",Positivo Tecnologia,tecnologia
"o termo tecnologia assistiva(pt-br) ou tecnologia de apoio(pt-pt?) agrupa dispositivos, técnicas e processos que podem prover assistência e reabilitação e melhorar a qualidade de vida de pessoas com deficiência. a tecnologia assistiva promove maior independência, permitindo que as pessoas com deficiência executem tarefas que anteriormente não conseguiam ou tinham grande dificuldade em realizar por meio de melhorias ou de mudanças de métodos de interação com a tecnologia necessária para executar estas tarefas.


== tecnologia assistiva ==
na sociedade da informação, muito tem-se falado sobre acessibilidade e design universal.",Tecnologia assistiva,tecnologia
"alta tecnologia (em inglês, high tech) refere-se à tecnologia considerada estado da arte ou de ponta (em inglês, cutting-edge), isto é, que trabalha com as mais recentes inovações tecnológicas, ou na sua investigação.
na procura do melhor artigo do new york times, a primeira ocorrência da expresão ""alta tecnologia"" numa história de 1950 advogando energia nuclear para a europa:
não existe classe de tecnologia com esta classificação - a definição sofre mutações ao longo do tempo, razão pela qual produtos considerados de ponta na década de 1960 são considerados, actualmente, se não de baixa tecnologia, completamente obsoletos. por este motivo, é recorrente o marketing aproveitar esta expressão para promover qualquer produto novo como sendo de ""alta tecnologia"".",Alta tecnologia,tecnologia
"tecnologias da informação e comunicação (tic) é um termo extensivo das áreas da informática e da ciência da computação para a tecnologia da informação (ti) que enfatiza o papel das comunicações unificadas (uc) e a integração das telecomunicações (linhas telefónicas e sinais sem fios) e dos computadores, bem como o software necessário, middleware, armazenamento de dados, multimédia e audiovisual, que permitem aos utilizadores (usuários) aceder, armazenar, transmitir, compreender e manipular informação (tecnologia digital comprimida).

as tic são também utilizadas para se referir à convergência (triple play) das redes de computadores com as redes audiovisuais e telefónicas através de uma arquitetura de computadores com uma única cablagem ou sistema de ligação (link system). existem grandes incentivos económicos para fundir o sistema de redes informáticas com as redes telefónicas utilizando um único sistema unificado de cablagem, distribuição de sinal digital e sistema de informação de gestão (sig).",Tecnologias da informação e comunicação,tecnologia
"a tecnologia espacial compreende a tecnologia relacionada à astronomia em geral e principalmente ao trânsito de objetos e formas de vida no espaço através de satélites, sondas e espaçonaves.",Tecnologia espacial,tecnologia
"a baixa tecnologia (do inglês: low tech) é uma tecnologia simples, oposta à obsessão da alta tecnologia.
a baixa tecnologia pode ser praticada ou fabricada com o mínimo de investimento de capital por parte de um indivíduo ou pequeno grupo. como também, o conhecimento por trás da prática pode ser completamente compreendido por um só indivíduo, livre da intensificação das especializações e compartimentalizações.",Baixa tecnologia,tecnologia
"tecnologia em informática é um curso reconhecido como graduação em nível superior pelo mec, diferente dos cursos técnicos. os cursos de tecnologia costumam durar entre 2 e 3 anos e já estão bem difundos entre as faculdades e universidades do brasil.
o profissional formado no curso de tecnologia em informática é denominado ""tecnólogo em informática"".",Tecnologia em informática,tecnologia
"em tecnologia, erros em sistemas e aparelhos eletrônicos recebem diversas designações, dentre elas: falha, defeito no programa, defeito no software, bug, tilt, glitch. os termos referem-se às áreas de computação, sistemas de informação, eletrônica e muito comum entre adeptos de jogos eletrônicos, embora seja aplicável também na área de cibernética, o que implica a inclusão dos sistemas naturais também. tais erros são verificados no funcionamento comum de um software (ou também de hardware), e pode causar comportamentos inesperados, como resultado incorreto ou comportamento indesejado.",Falha (tecnologia),tecnologia
"tecnologia médica é um ramo da tecnologia que se dedica à criação e aperfeiçoamento de equipamentos e técnicas para que o progresso médico-cirúrgico seja possível.


== história ==
quando falamos de medicina, uma das coisas que nos vem a cabeça são os equipamentos modernos que auxiliam os médicos a chegarem nos diagnósticos precisos e rápidos, como máquinas de raio x, tomografia computadorizada, ressonância magnética e pet/ct,mas não nos damos conta que antigamente toda essa tecnologia não era disponível aos médicos. a máquina de raio x, por exemplo, só foi criada em 1895, que permitiu a observação dos órgãos do corpo inteiro.",Tecnologia médica,tecnologia
"tecnologia financeira, por vezes abreviado tecfin, ou fintech (do inglês financial technology: ""tecnologia financeira"") é a tecnologia e inovação aplicadas na solução de serviços financeiros e que competem diretamente com o modelo tradicional ainda prevalente do setor. deste modo, empresas conhecidas como startups que buscam operar e aperfeiçoar serviços financeiros através de soluções tecnológicas são consideradas empresas fintech.
de uma forma geral, as fintechs fazem uso de tecnologias como inteligência artificial, computação em nuvem e megadados para criar um ambiente totalmente digital e automatizado, distribuído para seus clientes nos diversos canais digitais existentes, sobretudo smartphones.",Tecnologia financeira,tecnologia
tecnologia exponencial é uma tecnologia a qual se aplica a lei de moore.,Tecnologia Exponencial,tecnologia
"tecnologia militar é uma expressão que designa o conjunto de recursos tecnológicos que podem ser usados para fins militares, isto é, em prol da defesa e da segurança nacional. tais recursos tecnológicos são distintamente de natureza militar e não são aplicados no meio civil, já que tais recursos não são úteis para as aplicações civis, são ilegais ou são perigosos para manuseio sem treinamento militar.
a tecnologia militar é frequentemente pesquisada e desenvolvida por cientistas e engenheiros, especificamente para uso em batalhas pelas forças armadas.",Tecnologia militar,tecnologia
"as tecnologias vestíveis ou dispositivos vestíveis (em inglês: wearable technology ou apenas wearables), são tecnologias que se apresentam na forma de dispositivos iguais ou similares a peças de roupa ou equipamentos vestíveis, tais como relógios, pulseiras ou até mesmo óculos de realidade virtual. trata-se dos produtos resultantes do desenvolvimento da chamada computação vestível.",Tecnologia vestível,tecnologia
"política (do grego: πολιτικός / politikos, significa "" algo relacionado com grupos sociais que integram a pólis ""), algo que tem a ver com a organização, direção e administração de nações ou estados. é o direito, enquanto ciência aplicada não só aos assuntos internos da nação (política interna), mas também aos assuntos externos (política externa). nos regimes democráticos, a ciência política é a atividade dos cidadãos que se ocupam dos assuntos públicos com seu voto ou com sua militância.",Política,politica
"índia (em hindi: भारत; romaniz.: bhārat, pronunciado: [ˈbʱaːrət̪]; em inglês: india, pronunciado: [ˈɪndiə]), oficialmente denominada república da índia (em hindi: भारत गणराज्य;  bhārat gaṇarājya; em inglês: republic of india), é um país da ásia meridional. é o  país mais populoso, o sétimo maior em área geográfica e a democracia mais populosa do mundo. delimitada ao sul pelo oceano índico, pelo mar da arábia a oeste e pelo golfo de bengala a leste, a índia tem uma costa com 7 517 km de extensão.",Índia,politica
"vietnã (português brasileiro) ou vietname (português europeu) (em vietnamita: việt nam, pronunciado: [viət˨ næm˧] ()), oficialmente república socialista do vietnã/vietname (em vietnamita: ), é um estado soberano localizado no leste da península da indochina, no sudeste asiático. faz fronteira com a china a norte, com laos e com o camboja a oeste, com o golfo da tailândia a sudoeste, e a leste e sul com o mar da china meridional, onde há mais de 4 000 ilhas (e recifes) próximas e distantes da costa, muitas destas reivindicadas pelo vietnã, sendo que ainda estão em disputa  outros países, como a república da china (taiwan), a república popular da china, a malásia e as filipinas. com uma população de mais de 90 milhões de habitantes, é o 16.º país mais populoso do mundo, tendo hanói como sua capital desde sua reunificação, em 1976.",Vietnã,politica
"no espectro político, a direita descreve uma visão ou posição específica que normalmente aceita a hierarquia social ou desigualdade social como inevitável, natural, normal ou desejável. esta postura política geralmente justifica esta posição com base no direito natural e na tradição.
o termo ""direita"" tem sido usado para se referir a diferentes posições políticas ao longo da história.",Direita (política),politica
"catar, ou qatar (português brasileiro: [kaˈtah] ou [kaˈtaɾ]; português europeu: [kɐˈtaɾ]; em árabe: قطر; romaniz.: qatar‎; pronunciado em árabe: [ˈqɑtˤɑr], pronunciado coloquialmente: [ɡɪtˤɑr]), oficialmente estado do catar (em árabe: دولة قطر, translit. dawlat qaṭar), é um país árabe do sudoeste asiático que ocupa a pequena península do catar, na costa nordeste da península arábica, no oriente médio. sua única fronteira terrestre é com a arábia saudita ao sul, enquanto o restante de seu território é cercado pelo golfo pérsico.",Catar,politica
"ciência política ou politologia é o estudo da política — dos sistemas políticos, das organizações e dos processos políticos. envolve o estudo da estrutura (e das mudanças de estrutura) e dos processos de governo — ou qualquer sistema equivalente de organização humana que tente assegurar segurança, justiça e direitos civis. os cientistas políticos, também chamados politólogos, podem estudar instituições como empresas, sindicatos, igrejas, ou outras organizações cujas estruturas e processos de ação se aproximem de um governo, em complexidade e interconexão.",Ciência política,politica
"um político (do grego transliterado politikós) é quem se ocupa da política. segundo sócrates, é um homem público que lida com a chamada ""coisa pública"". segundo platão, é filiado a um partido ou ""ideologia filosófica de conduta"".",Político,politica
"no espectro político, a esquerda caracteriza-se pela defesa de uma maior igualdade social. normalmente, envolve uma preocupação com os cidadãos que são considerados em desvantagem em relação aos outros e uma suposição de que há desigualdades injustificadas que devem ser reduzidas ou abolidas.
os termos ""direita"" e ""esquerda"" foram criados durante a revolução francesa (1789–1799), e referiam-se ao lugar onde políticos se sentavam no parlamento francês, os que estavam sentados à direita da cadeira do presidente parlamentar eram amplamente favoráveis ao ancien régime.",Esquerda (política),politica
"brasil (localmente [bɾaˈziw]), oficialmente república federativa do brasil (), é o maior país da américa do sul e da região da américa latina, sendo o quinto maior do mundo em área territorial (equivalente a 47,3% do território sul-americano), com cerca de 8,5 milhões de quilômetros quadrados, e o sétimo em população (com 213 milhões de habitantes, em julho de 2025). é o único país na américa onde se fala majoritariamente a língua portuguesa e o maior país lusófono do planeta, além de ser uma das nações mais multiculturais e etnicamente diversas, em decorrência da forte imigração oriunda de variados locais do mundo. sua atual constituição, promulgada em 1988, concebe o brasil como uma república federativa presidencialista, formada pela união de 26 estados, do distrito federal e dos 5 571 municípios.",Brasil,politica
"turquia (em turco: türkiye, pronunciado: [ˈtyrcije]), cujo nome oficial é república da turquia (türkiye cumhuriyeti, pronunciado: [ˈtyrcije d͡ʒumˈhurijeti] ()), é um país transcontinental, com a maior parte de seu território localizada na ásia ocidental e uma parte menor (a oeste do mar de mármara) na europa oriental, estendendo-se pela península da anatólia e pela trácia oriental na região dos bálcãs. é um dos seis estados independentes cuja população é maioritariamente turca. faz fronteira com oito países: a noroeste com a bulgária, a oeste com a grécia, a nordeste com a geórgia, a arménia e o enclave de naquichevão do azerbaijão, a leste com o irão e a sudeste com o iraque e a síria.",Turquia,politica
"ditadura militar brasileira foi um regime autoritário e nacionalista instaurado em 1 de abril de 1964, que perdurou até 15 de março de 1985, sendo conduzido por sucessivos governos militares. o regime teve início com o golpe de estado de 1964, que depôs o governo joão goulart, eleito democraticamente. a ditadura terminou formalmente em 1985, quando josé sarney assumiu a presidência, marcando o início da chamada nova república.",Ditadura militar brasileira,politica
"a irlanda (em irlandês:  éire; [ˈeːɾʲə] () e em inglês:  ireland [ˈaɪərlənd], localmente: [ˈaːɹlənd] ou [ˈaɪɹlənd]), por vezes chamada (de maneira não oficial, para diferenciá-la da ilha de mesmo nome, que divide com a irlanda do norte) república da irlanda (em irlandês:  poblacht na héireann e em inglês:  republic of ireland) ou então eire, é um estado soberano da europa que ocupa cerca de cinco sextos da ilha homônima. é uma república constitucional governada como uma democracia parlamentar, com um presidente eleito para servir como chefe de estado. considerada um país desenvolvido, a irlanda tem o terceiro maior índice de desenvolvimento humano (idh) do mundo, além de ótimas classificações em índices que medem o grau de democracia e liberdades como a de imprensa, econômica e política.",Irlanda,politica
"a política do brasil funciona sob o modelo de república federal presidencialista, formada pela união, os estados, o distrito federal e os municípios, o exercício do poder é atribuído a órgãos distintos e independentes, submetidos a um sistema de controle para garantir o cumprimento das leis e da constituição. o brasil é uma república porque o chefe do estado é eleito pelo povo e com mandato. é presidencialista porque o presidente da república é chefe de estado e também chefe de governo.",Política do Brasil,politica
"suíça (em alemão:  [die] schweiz [ˈʃvaɪts]; em suíço-alemão: schwyz ou schwiiz [ˈʃʋit͡s]; em francês:  suisse [sɥis(ə)]; em italiano:  svizzera [ˈzvittsera]; em romanche:  svizra [ˈʒviːtsrɐ] ou [ˈʒviːtsʁːɐ]), oficialmente confederação suíça (em alemão: schweizerische eidgenossenschaft; em francês: confédération suisse; em italiano: confederazione svizzera; em romanche: confederaziun svizra), é uma república federal composta por 26 estados, chamados de cantões, com a cidade de berna como a sede das autoridades federais. o país está situado na europa central, fazendo fronteira com a alemanha a norte, com a frança a oeste, com itália a sul e com a áustria e o principado de liechtenstein a leste.
a suíça é um país sem costa marítima cujo território é dividido geograficamente entre o jura, o planalto suíço e os alpes, somando uma área de 41 285 km².",Suíça,politica
"política do café com leite visava a predominância do poder nacional por parte das oligarquias paulista e mineira, executada na república velha a partir da presidência de campos sales (1898-1902), por presidentes civis fortemente influenciados pelo setor agrário dos estados de são paulo — com grande produção de café — e minas gerais — produtor de leite e maior polo eleitoral do país de então —, impedindo que o principal cargo do poder executivo fosse ocupado por representante dos interesses de outros estados economicamente importantes à época, como rio grande do sul e pernambuco. essa política perdurou até a revolução de 1930.
tornavam-se predominantes no poder representantes do partido republicano paulista (prp) e do partido republicano mineiro (prm), que controlavam as eleições e gozavam do apoio da elite agrária de outros estados do brasil.",Política do café com leite,politica
"união europeia (ue) é uma união económica e política de 27 estados-membros independentes situados principalmente na europa. a ue tem as suas origens na comunidade europeia do carvão e do aço (ceca) e na comunidade económica europeia (cee), formadas por seis países em 1957. nos anos que se seguiram, o território da ue foi aumentando de dimensão através da adesão de novos estados-membros, ao mesmo tempo que aumentava a sua esfera de influência através da inclusão de novas competências políticas.",União Europeia,politica
"méxico (pronunciado em português: [ˈmɛʃiku]; pronunciado em castelhano: [ˈmexiko] (), oficialmente estados unidos mexicanos, é uma república constitucional federal localizada na américa do norte. o país é limitado a norte pelos estados unidos; ao sul e oeste pelo oceano pacífico; a sudeste pela guatemala, belize e mar do caribe; a leste pelo golfo do méxico. com um território que abrange quase 2 milhões de quilômetros quadrados, o méxico é o quinto maior país da américa por área total e o 14.º maior país independente do mundo.",México,politica
"república popular da china (rpc; chinês simplificado: 中华人民共和国; chinês tradicional: 中華人民共和國; pinyin: ), também conhecida simplesmente como china, é o maior país da ásia oriental e o segundo país mais populoso do mundo, com mais de 1,4 bilhão de habitantes, quase um quinto da população da terra, superado apenas pela índia . é uma república popular socialista unipartidária. na constituição, descreve-se como um sistema multipartidário de cooperação e consulta política sob a liderança do partido comunista da china e como uma ""ditadura democrática popular liderada pela classe trabalhadora e baseada na aliança de trabalhadores e camponeses"".",China,politica
"movimento democrático brasileiro (mdb) é um partido político brasileiro de centro criado em 1980 para dar continuidade ao partido de mesmo nome que existia como oposição legal durante a ditadura militar (1964-1985). é o partido com maior tempo em atividade da história da república, pois iniciou suas atividades em 1966, com o bipartidarismo, e deu sequência em 1980, a partir do multipartidarismo. em 2025, o mdb lançou um novo programa partidário, reforçando sua posição ideológica de centro.",Movimento Democrático Brasileiro (1980),politica
"partido político é um grupo organizado, legalmente formado, com base em formas voluntárias de participação numa associação orientada para ocupar o poder político.
é um grupo organizado de pessoas que formam legalmente uma entidade, constituídos com base em formas voluntárias de participação, nessa ""democracia"", segundo professor lauro campos da universidade de brasília; quando faz referência ao espectro ideológico, em seu livro, história do pensamento econômico, em uma associação orientada para influenciar ou ocupar o poder político em um determinado país politicamente organizado e/ou estado, em que se faz presente e/ou necessário como objeto de mudança e/ou transformação social. porém, segundo robert michels, em seu livro publicado em 1911, sociologia dos partidos políticos, por mais democráticos sejam esses partidos, eles sempre tornam-se oligárquicos, esses partidos estão sempre sociologicamente ligados a uma ideologia, porém, nem sempre essa ideologia é pragmática e/ou sociologicamente exequível ou viável, pois muitas vezes carece de ambiente para seu desenvolvimento, o que demonstra segundo lauro campos, que os chamados líderes partidários não se sintonizam perfeitamente com o povo e como que, como diz: ""… tentam governar de costas para o povo e suas necessidades…"".",Partido político,politica
"a definição de saúde possui implicações legais, sociais e econômicas dos estados de saúde e doença; sem dúvida, a definição mais difundida é a encontrada no preâmbulo da constituição da organização mundial da saúde: saúde é um estado de completo bem-estar físico, mental e social, e não apenas a ausência de doenças.


== contexto histórico ==
diferentes visões e definições acerca do que se tem de saúde e doença permeiam a história da humanidade, sobretudo a inserção desses conceitos sob os contextos cultural, social, político e econômico. todo esse conjunto de ideias evidencia uma evolução do pensar humano, uma vez que passa a ser considerado um maior grau de complexidade de interseções desses ideais.",Saúde,saude_beleza
